Name,Age,Overall,Potential,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST,order
F. N'Ganga,32,69,69,76,71,74,73,64,60,71,42,62,35,38,12,9,16,16,12,54,69,76,61,50,67,33,36,64,63,66,69,76,72,70,68,52,52,58,67,66,56,60,58,68,67,60,66,56,61,55,59,69,58,68,67,60,66,56,61,55,59,69,55,6174
N. Schouterden,28,69,69,79,62,77,75,68,67,72,69,67,45,67,8,10,9,13,9,46,57,76,67,66,47,53,64,65,65,74,52,79,76,54,62,65,54,66,57,61,65,65,66,62,57,65,61,65,68,62,67,64,66,62,57,65,61,65,68,62,67,64,62,6175
M. Marić,33,69,69,38,74,34,58,59,62,39,52,38,47,58,13,8,13,14,6,72,71,65,52,57,69,75,44,59,53,70,67,32,70,70,79,45,40,48,68,63,49,54,48,60,68,54,63,49,47,54,46,58,48,60,68,54,63,49,47,54,46,58,54,6176
X. Kouassi,27,69,71,73,80,83,85,67,62,48,45,65,45,54,12,15,9,16,10,51,70,81,65,53,62,57,65,69,68,63,62,69,82,67,64,63,37,65,66,68,63,66,65,66,66,66,68,63,64,60,63,66,65,66,66,66,68,63,64,60,63,66,60,6177
M. Terki,25,69,72,66,71,67,72,73,78,61,48,74,54,44,7,13,8,9,7,55,66,65,65,52,65,53,65,68,72,56,57,68,72,63,75,64,47,67,65,68,66,68,67,65,65,68,68,66,68,63,67,66,67,65,65,68,68,66,68,63,67,66,63,6178
C. Agoste,33,69,69,72,48,81,64,67,67,66,64,72,62,61,8,7,10,8,9,67,40,48,58,54,52,64,70,68,71,56,40,74,51,51,52,73,71,69,53,56,68,64,69,57,53,64,56,68,68,66,69,58,69,57,53,64,56,68,68,66,69,58,66,6179
Y. Boli,23,69,74,80,64,73,63,66,68,60,49,71,67,40,12,10,7,9,14,71,39,80,48,63,32,64,66,65,56,71,34,80,63,39,71,54,62,64,51,50,66,58,64,53,51,58,50,66,65,68,67,54,64,53,51,58,50,66,65,68,67,54,68,6180
G. Agbonlahor,30,69,69,75,80,69,51,70,50,64,71,72,70,46,12,6,11,7,9,71,20,59,54,67,48,66,61,53,61,75,20,78,33,32,72,61,66,65,48,48,67,57,65,46,48,57,48,67,64,68,67,48,65,46,48,57,48,67,64,68,67,48,68,6181
N. Navarro,32,69,69,50,31,58,41,25,61,18,16,19,17,20,69,68,68,68,69,15,17,53,22,15,16,23,12,68,35,16,19,52,37,14,52,41,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6182
G. De Mets,30,69,69,63,69,69,74,66,70,69,71,60,49,65,13,16,15,7,14,62,74,73,70,68,63,58,60,67,69,73,66,53,71,68,64,68,59,64,67,68,63,67,64,67,67,67,68,63,64,61,63,67,64,67,67,67,68,63,64,61,63,67,61,6183
L. Karaboué,29,69,69,75,53,82,80,73,61,69,64,66,72,67,15,6,16,6,13,58,53,59,62,71,27,63,63,57,59,77,19,78,80,24,67,63,59,66,45,52,67,62,66,52,45,62,52,67,68,68,68,55,66,52,45,62,52,67,68,68,68,55,68,6184
Miguel Vieira,26,69,71,57,78,45,50,51,60,32,30,30,24,26,6,8,13,10,12,52,72,70,33,24,69,47,24,59,52,47,69,56,51,72,79,28,33,40,68,59,40,44,40,59,68,44,59,40,41,42,40,57,40,59,68,44,59,40,41,42,40,57,42,6185
S. Camara,34,69,69,54,65,76,79,72,68,72,55,67,70,54,8,11,14,14,10,70,51,71,63,73,51,73,68,63,70,75,46,54,48,51,60,67,74,68,57,59,68,65,68,57,57,65,59,68,66,68,67,58,68,57,57,65,59,68,66,68,67,58,68,6186
César Soriano,34,69,69,65,75,62,55,57,61,76,68,47,34,59,12,14,10,14,12,38,69,73,58,21,71,52,51,68,69,47,74,66,68,72,72,68,36,57,67,68,54,61,57,68,67,61,68,54,60,50,57,68,57,68,67,61,68,54,60,50,57,68,50,6187
G. De Luca,25,69,71,91,53,92,94,70,76,56,71,69,70,55,7,13,9,7,6,47,25,80,51,63,12,58,68,66,66,71,14,87,63,12,57,63,73,69,36,44,70,60,69,45,36,60,44,70,68,68,70,48,69,45,36,60,44,70,68,68,70,48,68,6188
R. Emond,25,69,72,67,36,65,60,64,69,48,64,59,72,66,16,12,6,10,14,72,38,68,33,60,15,70,75,69,60,67,21,67,58,18,70,58,69,63,41,43,66,55,63,45,41,55,43,66,61,68,63,47,63,45,41,55,43,66,61,68,63,47,68,6189
Cris,33,69,69,54,75,72,68,68,69,61,60,63,46,55,15,16,7,14,12,69,68,79,68,60,62,68,64,72,72,64,63,67,71,67,58,71,44,66,67,68,64,68,66,66,67,68,68,64,65,62,64,66,66,66,67,68,68,64,65,62,64,66,62,6190
K. Müller,26,69,72,49,41,48,43,18,52,12,13,17,13,16,69,65,59,68,73,13,20,67,20,15,9,20,11,67,21,18,10,46,31,10,76,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6191
M. Martin,28,69,69,54,68,67,72,66,61,69,57,56,60,70,7,9,13,10,9,64,68,74,72,70,54,74,59,67,74,66,67,46,76,68,74,67,51,65,66,68,62,68,65,65,66,68,68,62,64,62,62,66,65,65,66,68,68,62,64,62,62,66,62,6192
B. Vătăjelu,24,69,74,84,57,74,77,65,65,65,54,63,46,56,6,13,12,11,11,55,65,54,58,58,67,48,52,65,63,56,70,79,68,69,63,54,47,61,65,64,61,61,61,68,65,61,64,61,64,59,63,68,61,68,65,61,64,61,64,59,63,68,59,6193
M. Mitrishev,24,69,74,71,59,91,78,68,54,49,37,67,70,43,6,10,6,15,7,67,25,28,39,70,11,59,73,70,62,68,13,81,34,17,34,34,66,63,35,39,67,53,63,41,35,53,39,67,61,68,66,43,63,41,35,53,39,67,61,68,66,43,68,6194
C. Monsalvo,27,69,70,81,37,78,77,66,67,53,37,64,68,34,14,9,11,9,14,65,15,73,41,50,17,71,69,67,63,73,16,80,68,18,65,51,61,63,38,41,66,55,63,44,38,55,41,66,64,68,65,47,63,44,38,55,41,66,64,68,65,47,68,6195
Lucas João,23,69,74,68,54,70,48,66,62,45,52,66,68,34,11,10,13,13,10,75,22,72,49,61,21,55,63,63,55,75,20,77,67,23,75,62,64,63,43,45,65,57,63,44,43,57,45,65,62,68,63,46,63,44,43,57,45,65,62,68,63,46,68,6196
R. Christie,22,69,75,75,54,74,74,71,68,64,65,72,60,63,13,9,12,7,8,54,43,68,64,62,34,51,66,59,68,65,45,76,74,46,53,68,45,68,50,56,67,65,68,57,50,65,56,67,68,64,68,59,68,57,50,65,56,67,68,64,68,59,64,6197
R. van La Parra,26,69,70,83,54,78,74,76,66,58,67,79,51,57,16,14,11,16,12,38,34,56,52,54,27,63,62,58,64,67,36,85,67,48,65,57,51,66,47,52,66,61,66,53,47,61,52,66,68,62,68,56,66,53,47,61,52,66,68,62,68,56,62,6198
O. Altman,23,69,74,74,42,67,63,70,69,62,71,71,65,62,8,10,12,11,7,57,22,55,55,61,20,65,58,68,67,68,22,72,69,18,58,74,62,68,38,46,67,62,68,46,38,62,46,67,68,65,68,50,68,46,38,62,46,67,68,65,68,50,65,6199
N. Aankour,23,69,76,80,52,78,81,72,64,70,43,70,52,70,15,11,8,13,12,46,48,76,68,56,53,59,66,65,70,55,60,82,84,57,62,65,39,68,57,62,66,67,68,64,57,67,62,66,70,62,69,66,68,64,57,67,62,66,70,62,69,66,62,6200
M. Christiansen,20,69,78,55,78,63,64,71,63,66,68,61,39,65,15,7,11,14,9,68,67,66,67,50,56,48,53,68,68,66,67,64,76,70,78,64,39,62,68,68,60,66,62,67,68,66,68,60,63,59,61,67,62,67,68,66,68,60,63,59,61,67,59,6201
A. Duiedar,29,69,69,69,76,51,65,32,60,28,24,38,34,27,13,7,7,14,11,71,65,72,65,31,69,33,40,64,58,42,73,66,78,70,73,24,28,43,68,62,43,49,43,62,68,49,62,43,46,48,43,59,43,62,68,49,62,43,46,48,43,59,48,6202
J. Dudziak,21,69,75,84,64,84,82,73,67,70,70,73,49,62,13,12,6,7,13,47,59,76,55,48,66,59,57,66,67,64,65,78,72,68,51,59,58,65,63,64,65,64,65,68,63,64,64,65,68,61,67,69,65,68,63,64,64,65,68,61,67,69,61,6203
Dankler,25,69,73,36,67,28,53,50,64,34,34,37,38,30,7,11,11,11,14,71,65,79,59,29,70,41,31,57,64,56,67,33,48,69,83,30,38,43,68,62,43,50,43,57,68,50,62,43,43,48,41,54,43,57,68,50,62,43,43,48,41,54,48,6204
M. Petković,24,69,74,74,57,70,62,74,59,63,46,75,52,33,8,8,8,15,9,60,65,60,58,37,64,43,67,69,66,48,62,73,78,68,71,62,35,66,65,66,66,66,66,68,65,66,66,66,68,62,67,68,66,68,65,66,66,66,68,62,67,68,62,6205
C. Charisis,22,69,75,67,71,53,72,69,59,60,69,64,52,72,10,7,12,11,9,45,67,66,72,72,67,65,54,58,72,75,64,57,73,68,68,62,59,64,65,68,62,67,64,65,65,67,68,62,64,60,62,66,64,65,65,67,68,62,64,60,62,66,60,6206
M. Reynolds,30,69,69,71,64,77,72,62,67,63,33,56,19,30,12,16,13,15,13,68,66,67,61,19,65,14,22,65,64,28,67,70,68,70,76,47,15,52,68,65,48,56,52,67,68,56,65,48,56,45,53,66,52,67,68,56,65,48,56,45,53,66,45,6207
L. Montes,31,69,69,70,70,82,87,68,73,72,73,66,67,74,7,8,11,9,11,46,55,70,71,72,55,68,66,68,71,71,45,66,77,43,58,76,73,70,55,62,68,68,70,60,55,68,62,68,69,65,69,63,70,60,55,68,62,68,69,65,69,63,65,6208
M. Kirkeskov,25,69,72,72,69,73,58,65,70,69,67,57,38,66,7,10,14,8,12,46,59,50,68,50,66,52,48,62,66,60,72,74,84,72,74,53,37,59,65,67,57,62,59,68,65,62,67,57,62,55,60,68,59,68,65,62,67,57,62,55,60,68,55,6209
A. Youga,24,69,75,54,76,41,44,67,60,30,60,56,45,59,8,7,12,7,9,69,69,82,58,56,69,35,62,72,68,48,63,62,78,67,84,63,29,61,70,68,60,65,61,64,70,65,68,60,59,59,57,63,61,64,70,65,68,60,59,59,57,63,59,6210
R. Mühren,28,69,69,62,64,68,66,68,65,55,66,64,74,63,8,14,11,11,8,71,49,71,60,67,30,76,75,73,68,69,36,57,68,52,67,68,67,68,54,58,69,66,68,55,54,66,58,69,66,70,67,56,68,55,54,66,58,69,66,70,67,56,70,6211
C. Lines,31,69,69,57,48,67,58,71,66,70,70,67,61,69,16,16,11,10,16,53,42,57,71,67,50,68,67,59,74,63,47,59,67,58,61,73,50,68,54,60,66,68,68,58,54,68,60,66,67,63,66,60,68,58,54,68,60,66,67,63,66,60,63,6212
M. Zeffane,25,69,71,78,71,74,79,66,60,66,58,65,54,47,15,12,9,13,10,56,68,70,56,63,65,60,45,62,67,78,65,79,90,62,61,58,57,62,64,66,62,63,62,68,64,63,66,62,65,62,64,69,62,68,64,63,66,62,65,62,64,69,62,6213
F. Castillón,31,69,69,82,33,84,77,72,65,59,60,71,63,57,14,11,8,9,7,58,20,74,56,70,26,67,67,66,64,70,21,80,59,25,63,65,59,68,40,46,69,61,68,47,40,61,46,69,68,67,69,50,68,47,40,61,46,69,68,67,69,50,67,6214
A. Walongwa,23,69,74,64,67,60,53,57,60,24,35,27,21,38,15,16,8,13,15,72,65,71,48,25,67,54,39,58,53,41,68,53,52,71,80,29,29,43,68,60,42,47,43,59,68,47,60,42,43,46,41,55,43,59,68,47,60,42,43,46,41,55,46,6215
Antonaldo Laforte,25,69,69,63,68,51,64,75,65,52,58,53,68,54,17,16,13,10,19,59,22,55,69,63,22,51,74,62,75,65,24,65,65,21,68,75,52,68,42,51,67,65,68,45,42,65,51,67,66,66,65,48,68,45,42,65,51,67,66,66,65,48,66,6216
C. Beck,29,69,69,43,78,45,37,66,70,31,54,47,76,39,15,8,6,15,11,76,18,60,33,68,20,65,73,69,59,74,16,53,68,33,78,45,64,58,45,45,62,53,58,41,45,53,45,62,55,68,57,42,58,41,45,53,45,62,55,68,57,42,68,6217
G. Tansey,28,69,69,67,54,71,64,66,68,63,74,63,63,76,9,14,15,6,15,60,60,82,72,74,60,75,60,67,73,76,62,68,90,65,82,68,58,67,65,68,66,69,67,66,65,69,68,66,67,66,66,67,67,66,65,69,68,66,67,66,66,67,66,6218
M. Dal Hende,26,69,72,77,81,70,79,68,68,65,61,67,62,52,6,12,12,8,8,68,66,80,61,57,63,54,68,69,65,64,65,79,76,67,78,60,63,66,69,67,67,65,66,68,69,65,67,67,68,67,67,68,66,68,69,65,67,67,68,67,67,68,67,6219
J. San Román,28,69,69,73,63,57,71,62,28,52,32,61,15,36,7,8,15,9,11,59,75,72,58,15,73,46,60,72,54,25,70,59,81,73,61,53,14,54,68,67,53,59,54,68,68,59,67,53,58,47,54,67,54,68,68,59,67,53,58,47,54,67,47,6220
A. Caracciolo,35,69,69,43,48,30,32,69,75,40,44,55,75,50,10,15,12,8,10,83,20,82,30,41,16,78,75,69,60,55,20,58,55,32,92,48,70,58,46,44,63,53,58,42,46,53,44,63,57,68,58,43,58,42,46,53,44,63,57,68,58,43,68,6221
Z. Diallo,30,69,69,51,75,41,30,53,64,48,52,46,35,45,7,8,10,9,13,63,63,43,47,38,69,48,42,62,56,53,69,44,76,71,93,40,35,47,68,63,48,52,47,62,68,52,63,48,50,50,47,60,47,62,68,52,63,48,50,50,47,60,50,6222
E. Assifuah,23,69,74,84,52,85,77,68,65,63,45,71,62,33,13,15,8,7,15,48,25,87,55,67,21,66,68,61,59,70,24,90,77,25,73,60,50,66,42,47,67,59,66,49,42,59,47,67,68,66,69,52,66,49,42,59,47,67,68,66,69,52,66,6223
L. Robles,30,69,69,75,74,74,72,63,62,52,43,56,34,62,11,6,6,13,16,63,64,93,70,64,65,39,60,63,75,75,67,64,77,68,69,65,29,63,68,68,61,66,63,66,68,66,68,61,62,59,60,66,63,66,68,66,68,61,62,59,60,66,59,6224
Gonçalo Paciência,22,69,77,64,71,71,61,73,68,29,64,75,66,41,9,8,14,12,7,62,30,66,39,64,15,69,65,69,51,75,23,63,65,30,79,63,70,64,45,47,67,58,64,43,45,58,47,67,61,68,63,45,64,43,45,58,47,67,61,68,63,45,68,6225
R. Stearman,29,69,69,53,79,58,50,57,46,45,32,45,33,33,9,10,11,16,6,68,67,70,53,43,66,48,42,66,63,50,68,54,66,67,75,36,30,50,68,64,49,54,50,62,68,54,64,49,51,51,49,61,50,62,68,54,64,49,51,51,49,61,51,6226
D. Swanson,30,69,69,76,76,87,91,66,62,68,66,68,60,71,14,9,7,10,11,52,60,85,65,64,54,73,67,59,68,68,54,78,66,52,63,72,59,68,60,62,67,65,68,62,60,65,62,67,68,64,68,63,68,62,60,65,62,67,68,64,68,63,64,6227
Oriol Rosell,24,69,73,56,65,59,58,75,69,61,64,68,51,42,13,7,13,9,12,60,72,60,73,65,63,49,57,71,76,68,64,59,42,65,73,65,53,67,67,68,65,68,67,64,67,68,68,65,65,63,65,65,67,64,67,68,68,65,65,63,65,65,63,6228
T. Fountas,21,69,73,76,70,84,87,73,68,65,68,72,57,69,16,14,15,12,9,47,56,60,69,61,59,60,63,69,70,67,39,75,76,45,35,64,62,69,53,61,67,67,69,60,53,67,61,67,69,63,69,63,69,60,53,67,61,67,69,63,69,63,63,6229
G. Iñíguez,23,69,76,67,63,75,78,71,59,62,58,68,43,45,14,15,8,14,16,49,66,72,69,63,63,51,64,65,72,68,61,67,77,68,68,65,48,66,64,68,64,68,66,66,64,68,68,64,66,61,65,67,66,66,64,68,68,64,66,61,65,67,61,6230
E. Armenteros,31,69,69,65,50,66,73,71,66,73,69,67,65,72,8,8,6,6,12,57,55,57,72,74,48,53,68,69,70,67,47,63,60,54,65,72,63,69,56,61,68,68,69,60,56,68,61,68,68,66,69,61,69,60,56,68,61,68,68,66,69,61,66,6231
Paulo Daineiro,33,69,69,86,30,83,87,67,73,64,68,75,58,40,12,16,9,8,9,45,40,64,50,46,18,68,72,68,67,50,26,85,70,35,59,67,70,68,42,49,68,62,68,52,42,62,49,68,70,63,70,55,68,52,42,62,49,68,70,63,70,55,63,6232
J. van der Linden,26,69,70,31,68,32,43,68,68,75,80,42,33,81,8,14,13,11,7,68,74,48,62,68,71,75,36,62,60,76,68,31,53,69,73,59,42,52,68,66,51,59,52,63,68,59,66,51,52,52,51,62,52,63,68,59,66,51,52,52,51,62,52,6233
A. Kochenkov,30,69,69,46,33,35,34,19,58,14,12,13,11,12,65,66,67,72,73,15,14,69,32,12,13,14,10,65,35,23,16,48,30,14,73,43,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6234
D. Williams,24,69,73,68,74,61,61,62,65,68,39,66,40,32,7,9,6,10,10,67,68,83,57,42,69,47,49,65,65,39,68,74,66,71,75,51,35,58,70,66,57,60,58,68,70,60,66,57,62,56,60,67,58,68,70,60,66,57,62,56,60,67,56,6235
L. Castaldo,35,69,69,63,51,64,57,69,72,47,53,58,71,51,13,13,6,5,13,70,14,74,43,57,11,75,76,71,47,69,11,67,67,11,74,49,69,60,37,39,64,53,60,39,37,53,39,64,60,68,62,42,60,39,37,53,39,64,60,68,62,42,68,6236
D. McGowan,25,69,72,56,69,54,62,58,67,47,44,53,55,40,12,14,10,7,16,72,70,76,58,32,64,46,44,71,63,52,63,55,80,65,78,54,27,55,68,65,55,59,55,64,68,59,65,55,57,57,54,63,55,64,68,59,65,55,57,57,54,63,57,6237
A. Baptiste,31,69,69,65,73,71,69,58,57,57,27,55,33,17,12,13,8,10,9,73,72,84,48,40,71,34,55,66,59,57,72,66,77,71,80,50,25,55,71,66,55,57,55,68,71,57,66,55,57,56,55,66,55,68,71,57,66,55,57,56,55,66,56,6238
M. El Makrini,29,69,69,59,86,64,65,66,70,46,45,65,41,48,13,12,15,11,10,55,70,61,67,40,59,35,53,61,70,56,62,42,72,66,71,70,36,61,65,68,58,65,61,61,65,65,68,58,60,55,58,62,61,61,65,65,68,58,60,55,58,62,55,6239
Nélson Monte,21,69,75,58,62,60,55,53,60,52,38,48,28,32,13,15,9,11,11,64,69,81,41,31,72,46,41,61,56,35,69,55,65,72,78,36,28,47,68,61,46,50,47,63,68,50,61,46,50,47,48,62,47,63,68,50,61,46,50,47,48,62,47,6240
Pere Milla,24,69,74,78,45,75,68,68,57,66,65,74,68,58,10,10,14,14,14,52,32,54,52,66,18,62,70,64,62,70,23,74,64,21,59,67,59,68,39,46,69,61,68,47,39,61,46,69,68,67,69,51,68,47,39,61,46,69,68,67,69,51,67,6241
N. Colazo,26,69,69,82,67,77,79,68,59,68,77,71,54,71,13,6,8,11,13,62,66,70,67,70,64,69,66,68,67,76,70,81,74,69,62,69,46,68,67,67,68,68,68,70,67,68,67,68,69,66,69,70,68,70,67,68,67,68,69,66,69,70,66,6242
J. Buxton,32,69,69,48,80,47,48,48,61,30,19,23,33,20,12,11,6,9,13,73,64,80,56,15,71,45,29,63,57,66,64,51,61,68,80,48,30,43,68,62,43,50,43,59,68,50,62,43,43,47,40,55,43,59,68,50,62,43,43,47,40,55,47,6243
E. Ardenaz,25,69,69,70,45,76,62,68,73,70,66,67,62,62,9,15,8,9,11,56,59,71,75,56,57,74,67,62,72,67,46,73,68,50,52,71,63,68,56,62,67,67,68,61,56,67,62,67,69,64,68,63,68,61,56,67,62,67,69,64,68,63,64,6244
A. Kantari,32,69,69,51,69,59,56,63,60,40,39,45,28,26,10,8,12,11,6,71,66,70,64,29,69,34,39,61,63,55,68,54,66,69,78,38,30,50,68,65,49,56,50,62,68,56,65,49,51,50,48,60,50,62,68,56,65,49,51,50,48,60,50,6245
R. Williams,28,69,69,63,72,56,59,62,69,60,42,57,43,36,13,10,8,10,11,66,69,71,64,49,67,38,50,71,66,68,66,67,68,67,77,68,34,60,68,67,59,63,60,66,68,63,67,59,61,59,59,66,60,66,68,63,67,59,61,59,59,66,59,6246
Lee Tae Hee,22,69,77,42,25,33,50,19,46,17,35,12,16,13,69,67,63,69,70,12,22,53,21,19,17,30,17,66,29,35,12,46,31,18,67,35,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6247
J. Ramírez,24,69,73,74,69,74,77,75,62,64,65,77,57,53,12,13,9,6,10,48,35,44,59,52,60,66,56,57,70,65,56,77,63,61,56,64,48,67,56,60,66,64,67,60,56,64,60,66,68,62,68,62,67,60,56,64,60,66,68,62,68,62,62,6248
P. Ledesma,33,69,69,57,74,65,67,65,73,63,58,67,47,59,10,9,8,11,9,64,62,65,66,55,58,64,60,71,80,64,64,50,71,65,73,69,58,66,66,68,63,68,66,64,66,68,68,63,65,61,63,65,66,64,66,68,68,63,65,61,63,65,61,6249
Rui Correia,26,69,71,54,71,56,53,51,54,32,33,41,28,35,10,8,9,15,14,72,68,45,44,24,69,44,27,67,53,45,70,65,63,72,76,29,31,43,68,61,44,48,43,62,68,48,61,44,45,47,43,59,43,62,68,48,61,44,45,47,43,59,47,6250
F. Jensen,19,69,80,72,60,70,67,74,70,67,55,75,69,40,5,11,6,6,7,49,41,59,63,65,48,48,60,62,71,74,53,69,72,55,74,59,70,68,56,60,68,65,68,60,56,65,60,68,69,67,69,62,68,60,56,65,60,68,69,67,69,62,67,6251
J. Grounds,29,69,69,62,66,62,53,64,51,61,46,57,32,49,12,11,6,9,15,68,73,74,55,43,66,29,46,65,60,45,69,65,78,73,76,46,34,55,69,66,54,59,55,68,69,59,66,54,58,53,55,67,55,68,69,59,66,54,58,53,55,67,53,6252
D. Buzzegoli,34,69,69,74,73,73,71,70,67,61,62,65,55,69,16,16,15,8,12,61,59,78,70,71,53,66,55,70,70,72,55,74,75,57,70,70,52,67,62,65,66,68,67,64,62,68,65,66,67,64,66,64,67,64,62,68,65,66,67,64,66,64,64,6253
J. Wilson,21,69,76,74,36,65,70,69,60,45,49,68,70,42,9,15,14,8,16,62,24,64,52,59,16,67,71,66,59,67,24,76,68,23,67,60,57,65,40,45,67,59,65,45,40,59,45,67,65,68,66,48,65,45,40,59,45,67,65,68,66,48,68,6254
A. Ramos,25,69,71,91,42,90,84,75,64,52,45,69,70,51,15,15,8,14,12,56,33,65,46,56,41,61,65,67,61,66,21,88,67,33,69,61,52,68,46,50,69,60,68,52,46,60,50,69,68,68,70,54,68,52,46,60,50,69,68,68,70,54,68,6255
E. Godoy,23,69,76,65,79,48,55,56,53,69,33,45,30,28,11,11,7,13,8,66,62,74,51,26,66,40,26,64,61,40,67,68,75,67,80,30,32,47,68,63,46,51,47,66,68,51,63,46,53,48,49,65,47,66,68,51,63,46,53,48,49,65,48,6256
Ever Sineiro,29,69,69,78,60,83,82,70,70,66,67,73,62,56,7,14,12,16,11,71,65,60,60,54,45,66,65,76,67,62,40,70,64,38,57,64,60,68,55,59,68,65,68,60,55,65,59,68,69,67,69,61,68,60,55,65,59,68,69,67,69,61,67,6257
O. Petrák,25,69,73,76,55,66,59,67,70,59,56,62,30,24,12,13,7,13,11,71,75,76,68,65,61,30,40,63,68,48,64,75,74,69,74,67,29,62,68,68,58,65,62,68,68,65,68,58,62,55,60,68,62,68,68,65,68,58,62,55,60,68,55,6258
G. Evans,22,69,76,62,64,73,60,68,65,61,64,60,65,55,10,9,15,13,14,63,69,64,72,67,64,48,67,68,71,69,62,65,72,65,69,63,56,66,66,68,66,68,66,66,66,68,68,66,66,66,65,66,66,66,66,68,68,66,66,66,65,66,66,6259
M. Duelund,20,69,78,74,75,81,76,71,66,65,63,73,68,63,15,15,15,7,10,61,47,74,67,61,44,60,68,68,70,63,42,76,83,50,61,68,55,70,56,61,69,68,70,60,56,68,61,69,71,67,70,62,70,60,56,68,61,69,71,67,70,62,67,6260
O. Idrissi,21,69,76,79,66,77,70,74,62,64,82,79,67,34,15,16,8,10,16,58,23,65,46,79,20,45,59,62,63,78,23,82,61,22,63,56,67,67,41,46,69,59,67,47,41,59,46,69,68,68,70,51,67,47,41,59,46,69,68,68,70,51,68,6261
F. Mercado,27,69,70,70,31,75,72,69,57,28,35,71,70,60,13,11,10,8,13,61,15,70,34,61,17,69,72,63,64,69,11,73,51,14,69,68,53,67,36,40,68,56,67,38,36,56,40,68,62,68,65,41,67,38,36,56,40,68,62,68,65,41,68,6262
Yu Hanchao,30,69,69,73,62,71,78,70,77,62,43,76,68,46,16,10,15,8,16,62,52,54,60,54,32,64,67,64,70,64,48,79,72,34,68,66,62,69,52,57,69,65,69,57,52,65,57,69,69,68,69,60,69,57,52,65,57,69,69,68,69,60,68,6263
F. Tait,24,69,74,76,35,57,71,69,72,68,41,73,62,40,12,15,14,8,9,41,25,35,69,64,28,53,68,69,72,62,31,70,32,33,49,71,61,69,40,49,68,63,69,48,40,63,49,68,68,64,69,51,69,48,40,63,49,68,68,64,69,51,64,6264
K. Bua,23,69,75,83,44,80,68,68,69,65,49,72,60,39,7,7,9,5,10,39,34,58,55,60,26,53,62,63,63,70,24,83,68,28,60,66,59,66,41,49,67,61,66,50,41,61,49,67,68,63,68,53,66,50,41,61,49,67,68,63,68,53,63,6265
R. Kristiansen,29,69,69,83,65,84,71,61,62,65,46,65,43,42,15,7,15,10,12,45,64,66,56,46,65,48,61,67,60,47,68,84,76,72,61,46,35,60,64,64,59,60,60,68,64,60,64,59,64,57,63,68,60,68,64,60,64,59,64,57,63,68,57,6266
A. Weis,27,69,71,37,23,38,40,18,40,18,9,15,9,15,74,67,63,59,76,13,13,62,24,14,9,19,9,66,30,23,12,40,29,12,60,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6267
B. Verstraete,23,69,74,70,81,78,73,68,63,54,47,64,39,53,11,14,14,10,12,54,68,63,66,59,66,45,46,65,68,54,67,61,76,69,55,62,44,62,66,68,59,65,62,66,66,65,68,59,62,55,60,66,62,66,66,65,68,59,62,55,60,66,55,6268
E. Rescaldani,25,69,74,42,34,47,33,64,58,43,47,57,69,59,14,15,14,9,13,82,35,33,42,68,28,72,72,66,62,76,22,42,61,32,92,52,61,60,47,47,63,56,60,44,47,56,47,63,57,68,58,45,60,44,47,56,47,63,57,68,58,45,68,6269
J. Beckford,33,69,69,77,74,74,63,64,65,59,49,63,69,33,9,6,13,16,15,69,37,66,36,63,30,67,72,65,54,73,21,74,72,19,72,55,69,62,46,46,66,55,62,48,46,55,46,66,63,68,65,50,62,48,46,55,46,66,63,68,65,50,68,6270
D. Burn,25,69,72,34,69,31,26,52,62,43,48,47,25,46,15,13,7,8,10,70,68,59,60,29,70,48,37,57,59,53,67,36,70,68,89,49,22,47,68,64,45,54,47,59,68,54,64,45,48,47,43,58,47,59,68,54,64,45,48,47,43,58,47,6271
S. Beitashour,30,69,69,75,71,71,69,64,67,66,75,67,49,59,12,8,7,16,7,49,69,63,59,54,66,37,63,68,65,64,65,77,79,65,71,64,59,64,65,67,64,64,64,68,65,64,67,64,66,61,65,68,64,68,65,64,67,64,66,61,65,68,61,6272
I. Mbaye,22,69,77,67,68,71,65,68,64,68,68,66,35,55,15,7,6,10,9,60,64,53,64,56,60,49,60,64,64,65,70,77,77,70,68,50,50,61,65,66,61,63,61,68,65,63,66,61,64,59,62,68,61,68,65,63,66,61,64,59,62,68,59,6273
